Name;Title;Photo
Arisdiansah;CEO;arisdiansah.jpg
Yana Sandhi;COO;yana.jpg
Ronald Healtha;Service Experience Consultant;ronald.jpg
Wahyu Teguh;CRM Ecosystem Designer;wahyu.jpg
Al Fitra N;CX Analyst;fitra.jpg
Yusuf Siddiq;CX Researcher;yusuf.jpg
Hidayatullah;Tech Support;dayat.jpg
Akbar Pratama;Visual Designer;akbar.jpg
Azis;Videographer;azis.jpg
Dhimas Bekti;Video Editor;dhimas.jpg
 Putri Dewi;Client Relation Officer;putri.jpg
Ambarwati;Operations Assistant;ambar.jpg
Sheis Aisyah;Marketing Officer;sheis.jpg
